Emotion,Labels,Example,Response1 - OLD,Updated Responses 1,Responses 2,Response 3,Response 4,,,,,,,,,,,,,,,,
Ambiguous,Clarify Event,I spoke to a friend.,How did it go? ,Tell me more. ,,,,,,,,,,,,,,,,,,,
Ambiguous,Clarify Feelings,Work a lot,How do you feel about that?,Tell me more. ,,,,,,,,,,,,,,,,,,,
Ambiguous,Clarify Person,Talking to Ben,Who is {Ben}?,Who is {Ben}?,,,,,,,,,,,,,,,,,,,
Deny,,,,,,,,,,,,,,,,,,,,,,,
Emotions,Negative,,,,,,,,,,,,,,,,,,,,,,
Emotions,Positive,,,,,,,,,,,,,,,,,,,,,,
Negative,house chores+unproductive,I needed to get more work done at home.,Sounds like you feel guilty for not getting more chores done. It's easy to feel this way when there is so much to do around the house! ,Sounds like you feel guilty for not getting more chores done. It's easy to feel this way when there is so much to do around the house! ,,,,,,,,,,,,,,,,,,,
Negative,house chores+stressed,"I started different chores, but didn't quite finish any of them.",Sounds like you're frustrated at yourself and feeling stressed out by the amount of chores to do. ,You seem stressed out by the amount of chores to do. ,,,,,,,,,,,,,,,,,,,
Negative,Negative from others,Listening to a colleague complain.,"It's very nice of you to be there for your colleague. At the same time, it can be upsetting and frustrating for you too. ",That sounds difficult. I'm sorry you had to go through that. ,,,,,,,,,,,,,,,,,,,
Negative,covid,I couldn't stop crying because I'm tired of being locked down in our house because of covid,Sorry that you're having a hard time during lockdown. You're no alone. Many people are having a hard time adjusting. ,Sounds like you're having a hard time adjusting to this covid situation. You're not alone. Many people feel the same way. ,,,,,,,,,,,,,,,,,,,
Negative,death,I found out my grandfather is dying,I'm so sorry to hear that. It's always hard losing a family member. ,I'm so sorry to hear that. Losing a loved one is heartbreaking.,,,,,,,,,,,,,,,,,,,
Negative,other's health,My husband being sick.,I'm so sorry to hear that. It's hard when someone you care about is sick. ,It's hard to not be worried when a loved one is not doing well. ,,,,,,,,,,,,,,,,,,,
Negative,kids + not enough time,Didn't have much time with kids today,Sounds like you're feeling a bit guilty for not spending time with your kids. A lot of parents feel this way when facing competing demands from different areas of their life. ,Sounds like you're feeling guilty. A lot of parents feel this way when facing competing demands from different areas of their life. ,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior,My son was home from daycare today and refused to nap.,That's frustrating. Kids can be hard to deal with sometimes. ,That sounds difficult. Kids bring us joy but sometimes can be hard to deal with.,,,,,,,,,,,,,,,,,,,
Negative,kids+difficult behavior+tantrums,Kid had a temper tantrum for 30 min.,That's frustrating. Kids can be hard to deal with sometimes. ,That sounds difficult. Kids bring us joy but sometimes can be hard to deal with.,,,,,,,,,,,,,,,,,,,
Negative,kids+health,My kiddo is still in the hospital.,I'm sorry to hear that. It makes sense that you might be feeling worried. ,I'm sorrry to hear that. You must be very worried. ,,,,,,,,,,,,,,,,,,,
